Region,Division,State,year,crime_rate
West,Mountain,New Mexico,1972,4598.0
Northeast,Middle Atlantic,New York,1972,138542.0
South,South Atlantic,North Carolina,1972,22087.0
Midwest,West North Central,North Dakota,1972,290.0
Midwest,East North Central,Ohio,1972,32286.0
South,West South Central,Oklahoma,1972,6289.0
West,Pacific,Oregon,1972,6494.0
Northeast,Middle Atlantic,Pennsylvania,1972,33052.0
Northeast,New England,Rhode Island,1972,2424.0
South,South Atlantic,South Carolina,1972,10312.0
Midwest,West North Central,South Dakota,1972,756.0
South,East South Central,Tennessee,1972,12858.0
South,West South Central,Texas,1972,41285.0
West,Mountain,Utah,1972,2063.0
Northeast,New England,Vermont,1972,445.0
South,South Atlantic,Virginia,1972,16483.0
West,Pacific,Washington,1972,8627.0
South,South Atlantic,West Virginia,1972,2299.0
Midwest,East North Central,Wisconsin,1972,4358.0
West,Mountain,Wyoming,1972,511.0
South,East South Central,Alabama,1973,12390.0
West,Pacific,Alaska,1973,1269.0
West,Mountain,Arizona,1973,9877.0
South,West South Central,Arkansas,1973,5905.0
West,Pacific,California,1973,116563.0
West,Mountain,Colorado,1973,10088.0
Northeast,New England,Connecticut,1973,6421.0
South,South Atlantic,Delaware,1973,2016.0
South,South Atlantic,District of Columbia,1973,11626.0
South,South Atlantic,Florida,1973,46419.0
South,South Atlantic,Georgia,1973,19738.0
West,Pacific,Hawaii,1973,1295.0
West,Mountain,Idaho,1973,1264.0
Midwest,East North Central,Illinois,1973,62457.0
Midwest,East North Central,Indiana,1973,13696.0
Midwest,West North Central,Iowa,1973,2970.0
Midwest,West North Central,Kansas,1973,4956.0
South,East South Central,Kentucky,1973,7356.0
South,West South Central,Louisiana,1973,16020.0
Northeast,New England,Maine,1973,1258.0
South,South Atlantic,Maryland,1973,26093.0
Northeast,New England,Massachusetts,1973,20475.0
Midwest,East North Central,Michigan,1973,52921.0
Midwest,West North Central,Minnesota,1973,6926.0
South,East South Central,Mississippi,1973,7734.0
Midwest,West North Central,Missouri,1973,19441.0
West,Mountain,Montana,1973,1207.0
Midwest,West North Central,Nebraska,1973,2859.0
West,Mountain,Nevada,1973,3135.0
Northeast,New England,New Hampshire,1973,649.0
Northeast,Middle Atlantic,New Jersey,1973,28845.0
West,Mountain,New Mexico,1973,5219.0
Northeast,Middle Atlantic,New York,1973,135468.0
South,South Atlantic,North Carolina,1973,23086.0
Midwest,West North Central,North Dakota,1973,389.0
Midwest,East North Central,Ohio,1973,31304.0
South,West South Central,Oklahoma,1973,6556.0
West,Pacific,Oregon,1973,6512.0
Northeast,Middle Atlantic,Pennsylvania,1973,32397.0
Northeast,New England,Rhode Island,1973,2749.0
South,South Atlantic,South Carolina,1973,10757.0
Midwest,West North Central,South Dakota,1973,869.0
South,East South Central,Tennessee,1973,14771.0
South,West South Central,Texas,1973,45458.0
West,Mountain,Utah,1973,2412.0
Northeast,New England,Vermont,1973,327.0
South,South Atlantic,Virginia,1973,16007.0
West,Pacific,Washington,1973,9309.0
South,South Atlantic,West Virginia,1973,2219.0
Midwest,East North Central,Wisconsin,1973,5273.0
West,Mountain,Wyoming,1973,763.0
South,East South Central,Alabama,1974,13338.0
West,Pacific,Alaska,1974,1527.0
West,Mountain,Arizona,1974,12202.0
South,West South Central,Arkansas,1974,6521.0
West,Pacific,California,1974,127658.0
West,Mountain,Colorado,1974,10728.0
Northeast,New England,Connecticut,1974,7045.0
South,South Atlantic,Delaware,1974,2539.0
South,South Atlantic,District of Columbia,1974,11590.0
South,South Atlantic,Florida,1974,54821.0
South,South Atlantic,Georgia,1974,21587.0
West,Pacific,Hawaii,1974,1762.0
West,Mountain,Idaho,1974,1465.0
Midwest,East North Central,Illinois,1974,69806.0
Midwest,East North Central,Indiana,1974,15631.0
Midwest,West North Central,Iowa,1974,3455.0
Midwest,West North Central,Kansas,1974,6272.0
South,East South Central,Kentucky,1974,7857.0
South,West South Central,Louisiana,1974,17794.0
Northeast,New England,Maine,1974,1440.0
South,South Atlantic,Maryland,1974,29439.0
Northeast,New England,Massachusetts,1974,22545.0
Midwest,East North Central,Michigan,1974,59993.0
Midwest,West North Central,Minnesota,1974,8119.0
South,East South Central,Mississippi,1974,7782.0
Midwest,West North Central,Missouri,1974,21612.0
West,Mountain,Montana,1974,1194.0
Midwest,West North Central,Nebraska,1974,3697.0
West,Mountain,Nevada,1974,3910.0
Northeast,New England,New Hampshire,1974,739.0
Northeast,Middle Atlantic,New Jersey,1974,29568.0
West,Mountain,New Mexico,1974,5053.0
Northeast,Middle Atlantic,New York,1974,145427.0
South,South Atlantic,North Carolina,1974,26220.0
Midwest,West North Central,North Dakota,1974,319.0
Midwest,East North Central,Ohio,1974,39094.0
South,West South Central,Oklahoma,1974,7588.0
West,Pacific,Oregon,1974,8326.0
Northeast,Middle Atlantic,Pennsylvania,1974,37281.0
Northeast,New England,Rhode Island,1974,2651.0
South,South Atlantic,South Carolina,1974,12688.0
Midwest,West North Central,South Dakota,1974,1234.0
South,East South Central,Tennessee,1974,15969.0
South,West South Central,Texas,1974,47008.0
West,Mountain,Utah,1974,2517.0
Northeast,New England,Vermont,1974,353.0
South,South Atlantic,Virginia,1974,17514.0
West,Pacific,Washington,1974,12036.0
South,South Atlantic,West Virginia,1974,2460.0
Midwest,East North Central,Wisconsin,1974,6411.0
West,Mountain,Wyoming,1974,519.0
South,East South Central,Alabama,1975,14201.0
West,Pacific,Alaska,1975,1900.0
West,Mountain,Arizona,1975,12184.0
South,West South Central,Arkansas,1975,7369.0
West,Pacific,California,1975,138842.0
West,Mountain,Colorado,1975,11735.0
Northeast,New England,Connecticut,1975,8308.0
South,South Atlantic,Delaware,1975,2270.0
South,South Atlantic,District of Columbia,1975,12704.0
South,South Atlantic,Florida,1975,57540.0
South,South Atlantic,Georgia,1975,22608.0
West,Pacific,Hawaii,1975,1889.0
West,Mountain,Idaho,1975,1670.0
Midwest,East North Central,Illinois,1975,74699.0
Midwest,East North Central,Indiana,1975,17677.0
Midwest,West North Central,Iowa,1975,4039.0
Midwest,West North Central,Kansas,1975,6307.0
South,East South Central,Kentucky,1975,8967.0
South,West South Central,Louisiana,1975,18137.0
Northeast,New England,Maine,1975,2324.0
South,South Atlantic,Maryland,1975,29087.0
Northeast,New England,Massachusetts,1975,25793.0
Midwest,East North Central,Michigan,1975,62792.0
Midwest,West North Central,Minnesota,1975,8125.0
South,East South Central,Mississippi,1975,7411.0
Midwest,West North Central,Missouri,1975,23521.0
West,Mountain,Montana,1975,1418.0
Midwest,West North Central,Nebraska,1975,3986.0
West,Mountain,Nevada,1975,4018.0
Northeast,New England,New Hampshire,1975,816.0
Northeast,Middle Atlantic,New Jersey,1975,30215.0
West,Mountain,New Mexico,1975,6134.0
Northeast,Middle Atlantic,New York,1975,155187.0
South,South Atlantic,North Carolina,1975,23791.0
Midwest,West North Central,North Dakota,1975,337.0
Midwest,East North Central,Ohio,1975,43901.0
South,West South Central,Oklahoma,1975,8225.0
West,Pacific,Oregon,1975,10034.0
Northeast,Middle Atlantic,Pennsylvania,1975,38933.0
Northeast,New England,Rhode Island,1975,2802.0
South,South Atlantic,South Carolina,1975,14412.0
Midwest,West North Central,South Dakota,1975,1402.0
South,East South Central,Tennessee,1975,16627.0
South,West South Central,Texas,1975,47803.0
West,Mountain,Utah,1975,2795.0
Northeast,New England,Vermont,1975,448.0
South,South Atlantic,Virginia,1975,18917.0
West,Pacific,Washington,1975,13851.0
South,South Atlantic,West Virginia,1975,2915.0
Midwest,East North Central,Wisconsin,1975,6992.0
West,Mountain,Wyoming,1975,764.0
South,East South Central,Alabama,1976,14248.0
West,Pacific,Alaska,1976,2063.0
West,Mountain,Arizona,1976,10335.0
South,West South Central,Arkansas,1976,6410.0
West,Pacific,California,1976,144041.0
West,Mountain,Colorado,1976,10770.0
Northeast,New England,Connecticut,1976,8516.0
South,South Atlantic,Delaware,1976,1872.0
South,South Atlantic,District of Columbia,1976,10399.0
South,South Atlantic,Florida,1976,54597.0
South,South Atlantic,Georgia,1976,21030.0
West,Pacific,Hawaii,1976,2034.0
West,Mountain,Idaho,1976,1884.0
Midwest,East North Central,Illinois,1976,70266.0
Midwest,East North Central,Indiana,1976,16721.0
Midwest,West North Central,Iowa,1976,3813.0
Midwest,West North Central,Kansas,1976,6529.0
South,East South Central,Kentucky,1976,8987.0
South,West South Central,Louisiana,1976,18161.0
Northeast,New England,Maine,1976,2354.0
South,South Atlantic,Maryland,1976,26249.0
Northeast,New England,Massachusetts,1976,23190.0
Midwest,East North Central,Michigan,1976,58814.0
Midwest,West North Central,Minnesota,1976,7492.0
South,East South Central,Mississippi,1976,6954.0
Midwest,West North Central,Missouri,1976,21470.0
West,Mountain,Montana,1976,1358.0
Midwest,West North Central,Nebraska,1976,3269.0
West,Mountain,Nevada,1976,4215.0
Northeast,New England,New Hampshire,1976,709.0
Northeast,Middle Atlantic,New Jersey,1976,29107.0
West,Mountain,New Mexico,1976,6475.0
Northeast,Middle Atlantic,New York,1976,156988.0
South,South Atlantic,North Carolina,1976,22061.0
Midwest,West North Central,North Dakota,1976,462.0
Midwest,East North Central,Ohio,1976,41553.0
South,West South Central,Oklahoma,1976,7926.0
West,Pacific,Oregon,1976,10654.0
Northeast,Middle Atlantic,Pennsylvania,1976,34985.0
Northeast,New England,Rhode Island,1976,2779.0
South,South Atlantic,South Carolina,1976,17065.0
Midwest,West North Central,South Dakota,1976,1277.0
South,East South Central,Tennessee,1976,16574.0
South,West South Central,Texas,1976,44422.0
West,Mountain,Utah,1976,2709.0
Northeast,New England,Vermont,1976,563.0
South,South Atlantic,Virginia,1976,15485.0
West,Pacific,Washington,1976,14036.0
South,South Atlantic,West Virginia,1976,2761.0
Midwest,East North Central,Wisconsin,1976,6345.0
West,Mountain,Wyoming,1976,851.0
South,East South Central,Alabama,1977,15293.0
West,Pacific,Alaska,1977,1804.0
West,Mountain,Arizona,1977,11347.0
South,West South Central,Arkansas,1977,6924.0
West,Pacific,California,1977,154582.0
West,Mountain,Colorado,1977,13407.0
Northeast,New England,Connecticut,1977,8774.0
South,South Atlantic,Delaware,1977,2224.0
South,South Atlantic,District of Columbia,1977,9843.0
South,South Atlantic,Florida,1977,58052.0
South,South Atlantic,Georgia,1977,22203.0
West,Pacific,Hawaii,1977,2012.0
West,Mountain,Idaho,1977,2030.0
Midwest,East North Central,Illinois,1977,70910.0
Midwest,East North Central,Indiana,1977,16553.0
Midwest,West North Central,Iowa,1977,4145.0
Midwest,West North Central,Kansas,1977,7206.0
South,East South Central,Kentucky,1977,8077.0
South,West South Central,Louisiana,1977,20577.0
Northeast,New England,Maine,1977,2438.0
South,South Atlantic,Maryland,1977,28716.0
Northeast,New England,Massachusetts,1977,24593.0
Midwest,East North Central,Michigan,1977,53381.0
Midwest,West North Central,Minnesota,1977,7705.0
South,East South Central,Mississippi,1977,6896.0
Midwest,West North Central,Missouri,1977,22105.0
West,Mountain,Montana,1977,1659.0
Midwest,West North Central,Nebraska,1977,3113.0
West,Mountain,Nevada,1977,4703.0
Northeast,New England,New Hampshire,1977,960.0
Northeast,Middle Atlantic,New Jersey,1977,28732.0
West,Mountain,New Mexico,1977,5961.0
Northeast,Middle Atlantic,New York,1977,149087.0
South,South Atlantic,North Carolina,1977,22492.0
Midwest,West North Central,North Dakota,1977,438.0
Midwest,East North Central,Ohio,1977,43521.0
South,West South Central,Oklahoma,1977,8899.0
West,Pacific,Oregon,1977,10830.0
Northeast,Middle Atlantic,Pennsylvania,1977,33328.0
Northeast,New England,Rhode Island,1977,2820.0
South,South Atlantic,South Carolina,1977,18297.0
Midwest,West North Central,South Dakota,1977,1303.0
South,East South Central,Tennessee,1977,16743.0
South,West South Central,Texas,1977,52309.0
West,Mountain,Utah,1977,3043.0
Northeast,New England,Vermont,1977,722.0
South,South Atlantic,Virginia,1977,14893.0
West,Pacific,Washington,1977,13714.0
South,South Atlantic,West Virginia,1977,2832.0
Midwest,East North Central,Wisconsin,1977,6117.0
West,Mountain,Wyoming,1977,978.0
South,East South Central,Alabama,1978,15682.0
West,Pacific,Alaska,1978,1781.0
West,Mountain,Arizona,1978,12996.0
South,West South Central,Arkansas,1978,7522.0
West,Pacific,California,1978,165626.0
West,Mountain,Colorado,1978,13296.0
Northeast,New England,Connecticut,1978,9762.0
South,South Atlantic,Delaware,1978,2569.0
South,South Atlantic,District of Columbia,1978,9515.0
South,South Atlantic,Florida,1978,65792.0
South,South Atlantic,Georgia,1978,24545.0
West,Pacific,Hawaii,1978,2423.0
West,Mountain,Idaho,1978,2076.0
Midwest,East North Central,Illinois,1978,76084.0
Midwest,East North Central,Indiana,1978,17383.0
Midwest,West North Central,Iowa,1978,4674.0
Midwest,West North Central,Kansas,1978,7471.0
South,East South Central,Kentucky,1978,7807.0
South,West South Central,Louisiana,1978,23197.0
Northeast,New England,Maine,1978,2266.0
South,South Atlantic,Maryland,1978,30328.0
Northeast,New England,Massachusetts,1978,26673.0
Midwest,East North Central,Michigan,1978,53040.0
Midwest,West North Central,Minnesota,1978,7601.0
South,East South Central,Mississippi,1978,7721.0
Midwest,West North Central,Missouri,1978,22738.0
West,Mountain,Montana,1978,1865.0
Midwest,West North Central,Nebraska,1978,2982.0
West,Mountain,Nevada,1978,5153.0
Northeast,New England,New Hampshire,1978,1035.0
Northeast,Middle Atlantic,New Jersey,1978,31027.0
West,Mountain,New Mexico,1978,6402.0
Northeast,Middle Atlantic,New York,1978,149257.0
South,South Atlantic,North Carolina,1978,23054.0
Midwest,West North Central,North Dakota,1978,437.0
Midwest,East North Central,Ohio,1978,44357.0
South,West South Central,Oklahoma,1978,10165.0
West,Pacific,Oregon,1978,12278.0
Northeast,Middle Atlantic,Pennsylvania,1978,35381.0
Northeast,New England,Rhode Island,1978,3255.0
South,South Atlantic,South Carolina,1978,18604.0
Midwest,West North Central,South Dakota,1978,1128.0
South,East South Central,Tennessee,1978,16671.0
South,West South Central,Texas,1978,56650.0
West,Mountain,Utah,1978,3552.0
Northeast,New England,Vermont,1978,810.0
South,South Atlantic,Virginia,1978,14743.0
West,Pacific,Washington,1978,15296.0
South,South Atlantic,West Virginia,1978,3120.0
Midwest,East North Central,Wisconsin,1978,6184.0
West,Mountain,Wyoming,1978,1189.0
South,East South Central,Alabama,1979,15578.0
West,Pacific,Alaska,1979,1994.0
West,Mountain,Arizona,1979,14528.0
South,West South Central,Arkansas,1979,7984.0
West,Pacific,California,1979,184087.0
West,Mountain,Colorado,1979,14472.0
Northeast,New England,Connecticut,1979,12902.0
South,South Atlantic,Delaware,1979,3127.0
South,South Atlantic,District of Columbia,1979,10553.0
South,South Atlantic,Florida,1979,73881.0
South,South Atlantic,Georgia,1979,28594.0
West,Pacific,Hawaii,1979,2651.0
West,Mountain,Idaho,1979,2613.0
Midwest,East North Central,Illinois,1979,83540.0
Midwest,East North Central,Indiana,1979,18254.0
Midwest,West North Central,Iowa,1979,5259.0
Midwest,West North Central,Kansas,1979,8376.0
South,East South Central,Kentucky,1979,8748.0
South,West South Central,Louisiana,1979,27229.0
Northeast,New England,Maine,1979,2221.0
South,South Atlantic,Maryland,1979,33007.0
Northeast,New England,Massachusetts,1979,30650.0
Midwest,East North Central,Michigan,1979,56558.0
Midwest,West North Central,Minnesota,1979,8973.0
South,East South Central,Mississippi,1979,7786.0
Midwest,West North Central,Missouri,1979,25662.0
West,Mountain,Montana,1979,1762.0
Midwest,West North Central,Nebraska,1979,3556.0
West,Mountain,Nevada,1979,5866.0
Northeast,New England,New Hampshire,1979,1241.0
Northeast,Middle Atlantic,New Jersey,1979,36747.0
West,Mountain,New Mexico,1979,7272.0
Northeast,Middle Atlantic,New York,1979,161906.0
South,South Atlantic,North Carolina,1979,25009.0
Midwest,West North Central,North Dakota,1979,403.0
Midwest,East North Central,Ohio,1979,49092.0
South,West South Central,Oklahoma,1979,11719.0
West,Pacific,Oregon,1979,13781.0
Northeast,Middle Atlantic,Pennsylvania,1979,39133.0
Northeast,New England,Rhode Island,1979,3485.0
South,South Atlantic,South Carolina,1979,19889.0
Midwest,West North Central,South Dakota,1979,1096.0
South,East South Central,Tennessee,1979,18135.0
South,West South Central,Texas,1979,67988.0
West,Mountain,Utah,1979,4158.0
Northeast,New England,Vermont,1979,908.0
South,South Atlantic,Virginia,1979,15642.0
West,Pacific,Washington,1979,17064.0
South,South Atlantic,West Virginia,1979,3156.0
Midwest,East North Central,Wisconsin,1979,7839.0
West,Mountain,Wyoming,1979,1579.0
South,East South Central,Alabama,1980,17320.0
West,Pacific,Alaska,1980,1919.0
West,Mountain,Arizona,1980,17673.0
South,West South Central,Arkansas,1980,7656.0
West,Pacific,California,1980,210290.0
West,Mountain,Colorado,1980,15215.0
Northeast,New England,Connecticut,1980,12768.0
South,South Atlantic,Delaware,1980,2824.0
South,South Atlantic,District of Columbia,1980,12772.0
South,South Atlantic,Florida,1980,94095.0
South,South Atlantic,Georgia,1980,29993.0
West,Pacific,Hawaii,1980,2889.0
West,Mountain,Idaho,1980,2957.0
Midwest,East North Central,Illinois,1980,91753.0
Midwest,East North Central,Indiana,1980,20633.0
Midwest,West North Central,Iowa,1980,5826.0
Midwest,West North Central,Kansas,1980,9168.0
South,East South Central,Kentucky,1980,9711.0
South,West South Central,Louisiana,1980,27926.0
Northeast,New England,Maine,1980,2173.0
South,South Atlantic,Maryland,1980,35735.0
Northeast,New England,Massachusetts,1980,34444.0
Midwest,East North Central,Michigan,1980,59014.0
Midwest,West North Central,Minnesota,1980,9250.0
South,East South Central,Mississippi,1980,8588.0
Midwest,West North Central,Missouri,1980,27177.0
West,Mountain,Montana,1980,1740.0
Midwest,West North Central,Nebraska,1980,3512.0
West,Mountain,Nevada,1980,7304.0
Northeast,New England,New Hampshire,1980,1653.0
Northeast,Middle Atlantic,New Jersey,1980,44373.0
West,Mountain,New Mexico,1980,7967.0
Northeast,Middle Atlantic,New York,1980,180235.0
South,South Atlantic,North Carolina,1980,26589.0
Midwest,West North Central,North Dakota,1980,352.0
Midwest,East North Central,Ohio,1980,53646.0
South,West South Central,Oklahoma,1980,12589.0
West,Pacific,Oregon,1980,12802.0
Northeast,Middle Atlantic,Pennsylvania,1980,43032.0
Northeast,New England,Rhode Island,1980,3864.0
South,South Atlantic,South Carolina,1980,20225.0
Midwest,West North Central,South Dakota,1980,873.0
South,East South Central,Tennessee,1980,20824.0
South,West South Central,Texas,1980,77978.0
West,Mountain,Utah,1980,4425.0
Northeast,New England,Vermont,1980,914.0
South,South Atlantic,Virginia,1980,16355.0
West,Pacific,Washington,1980,19098.0
South,South Atlantic,West Virginia,1980,3547.0
Midwest,East North Central,Wisconsin,1980,8546.0
West,Mountain,Wyoming,1980,1841.0
South,East South Central,Alabama,1981,18423.0
West,Pacific,Alaska,1981,2537.0
West,Mountain,Arizona,1981,16082.0
South,West South Central,Arkansas,1981,7119.0
West,Pacific,California,1981,208485.0
West,Mountain,Colorado,1981,15755.0
Northeast,New England,Connecticut,1981,14033.0
South,South Atlantic,Delaware,1981,3044.0
South,South Atlantic,District of Columbia,1981,14468.0
South,South Atlantic,Florida,1981,98109.0
South,South Atlantic,Georgia,1981,30527.0
West,Pacific,Hawaii,1981,2424.0
West,Mountain,Idaho,1981,2717.0
Midwest,East North Central,Illinois,1981,90781.0
Midwest,East North Central,Indiana,1981,18672.0
Midwest,West North Central,Iowa,1981,5915.0
Midwest,West North Central,Kansas,1981,8796.0
South,East South Central,Kentucky,1981,10599.0
South,West South Central,Louisiana,1981,27478.0
Northeast,New England,Maine,1981,2214.0
South,South Atlantic,Maryland,1981,37800.0
Northeast,New England,Massachusetts,1981,36273.0
Midwest,East North Central,Michigan,1981,59058.0
Midwest,West North Central,Minnesota,1981,9344.0
South,East South Central,Mississippi,1981,7706.0
Midwest,West North Central,Missouri,1981,26675.0
West,Mountain,Montana,1981,2004.0
Midwest,West North Central,Nebraska,1981,2861.0
West,Mountain,Nevada,1981,7575.0
Northeast,New England,New Hampshire,1981,1375.0
Northeast,Middle Atlantic,New Jersey,1981,46674.0
West,Mountain,New Mexico,1981,8913.0
Northeast,Middle Atlantic,New York,1981,188178.0
South,South Atlantic,North Carolina,1981,25986.0
Midwest,West North Central,North Dakota,1981,444.0
Midwest,East North Central,Ohio,1981,53509.0
South,West South Central,Oklahoma,1981,13223.0
West,Pacific,Oregon,1981,12671.0
Northeast,Middle Atlantic,Pennsylvania,1981,44104.0
Northeast,New England,Rhode Island,1981,4205.0
South,South Atlantic,South Carolina,1981,20275.0
Midwest,West North Central,South Dakota,1981,718.0
South,East South Central,Tennessee,1981,19019.0
South,West South Central,Texas,1981,78560.0
West,Mountain,Utah,1981,4527.0
Northeast,New England,Vermont,1981,659.0
South,South Atlantic,Virginia,1981,17456.0
West,Pacific,Washington,1981,18839.0
South,South Atlantic,West Virginia,1981,3410.0
Midwest,East North Central,Wisconsin,1981,8904.0
West,Mountain,Wyoming,1981,2116.0
South,East South Central,Alabama,1982,17653.0
West,Pacific,Alaska,1982,2732.0
West,Mountain,Arizona,1982,14785.0
South,West South Central,Arkansas,1982,7438.0
West,Pacific,California,1982,201429.0
West,Mountain,Colorado,1982,15354.0
Northeast,New England,Connecticut,1982,12597.0
South,South Atlantic,Delaware,1982,3370.0
South,South Atlantic,District of Columbia,1982,13397.0
South,South Atlantic,Florida,1982,93411.0
South,South Atlantic,Georgia,1982,26963.0
West,Pacific,Hawaii,1982,2542.0
West,Mountain,Idaho,1982,2501.0
Midwest,East North Central,Illinois,1982,88644.0
Midwest,East North Central,Indiana,1982,16444.0
Midwest,West North Central,Iowa,1982,5018.0
Midwest,West North Central,Kansas,1982,8088.0
South,East South Central,Kentucky,1982,11550.0
South,West South Central,Louisiana,1982,29185.0
Northeast,New England,Maine,1982,1847.0
South,South Atlantic,Maryland,1982,36254.0
Northeast,New England,Massachusetts,1982,33031.0
Midwest,East North Central,Michigan,1982,59806.0
Midwest,West North Central,Minnesota,1982,9062.0
South,East South Central,Mississippi,1982,7515.0
Midwest,West North Central,Missouri,1982,25078.0
West,Mountain,Montana,1982,1801.0
Midwest,West North Central,Nebraska,1982,3641.0
West,Mountain,Nevada,1982,7096.0
Northeast,New England,New Hampshire,1982,1187.0
Northeast,Middle Atlantic,New Jersey,1982,45175.0
West,Mountain,New Mexico,1982,9982.0
Northeast,Middle Atlantic,New York,1982,174833.0
South,South Atlantic,North Carolina,1982,26865.0
Midwest,West North Central,North Dakota,1982,414.0
Midwest,East North Central,Ohio,1982,47126.0
South,West South Central,Oklahoma,1982,14103.0
West,Pacific,Oregon,1982,12529.0
Northeast,Middle Atlantic,Pennsylvania,1982,42767.0
Northeast,New England,Rhode Island,1982,3849.0
South,South Atlantic,South Carolina,1982,23061.0
Midwest,West North Central,South Dakota,1982,684.0
South,East South Central,Tennessee,1982,19586.0
South,West South Central,Texas,1982,88178.0
West,Mountain,Utah,1982,4440.0
Northeast,New England,Vermont,1982,655.0
South,South Atlantic,Virginia,1982,16970.0
West,Pacific,Washington,1982,17251.0
South,South Atlantic,West Virginia,1982,3405.0
Midwest,East North Central,Wisconsin,1982,9077.0
West,Mountain,Wyoming,1982,1527.0
South,East South Central,Alabama,1983,16471.0
West,Pacific,Alaska,1983,2940.0
West,Mountain,Arizona,1983,14642.0
South,West South Central,Arkansas,1983,6930.0
West,Pacific,California,1983,194491.0
West,Mountain,Colorado,1983,14955.0
Northeast,New England,Connecticut,1983,11767.0
South,South Atlantic,Delaware,1983,2746.0
South,South Atlantic,District of Columbia,1983,11933.0
South,South Atlantic,Florida,1983,88292.0
South,South Atlantic,Georgia,1983,26179.0
West,Pacific,Hawaii,1983,2579.0
West,Mountain,Idaho,1983,2361.0
Midwest,East North Central,Illinois,1983,83629.0
Midwest,East North Central,Indiana,1983,15547.0
Midwest,West North Central,Iowa,1983,5262.0
Midwest,West North Central,Kansas,1983,7919.0
South,East South Central,Kentucky,1983,11967.0
South,West South Central,Louisiana,1983,28444.0
Northeast,New England,Maine,1983,1829.0
South,South Atlantic,Maryland,1983,34736.0
Northeast,New England,Massachusetts,1983,33264.0
Midwest,East North Central,Michigan,1983,64993.0
Midwest,West North Central,Minnesota,1983,7909.0
South,East South Central,Mississippi,1983,7255.0
Midwest,West North Central,Missouri,1983,23718.0
West,Mountain,Montana,1983,1737.0
Midwest,West North Central,Nebraska,1983,3477.0
West,Mountain,Nevada,1983,5838.0
Northeast,New England,New Hampshire,1983,1200.0
Northeast,Middle Atlantic,New Jersey,1983,41304.0
West,Mountain,New Mexico,1983,9608.0
Northeast,Middle Atlantic,New York,1983,161489.0
South,South Atlantic,North Carolina,1983,24911.0
Midwest,West North Central,North Dakota,1983,365.0
Midwest,East North Central,Ohio,1983,42759.0
South,West South Central,Oklahoma,1983,13964.0
West,Pacific,Oregon,1983,12986.0
Northeast,Middle Atlantic,Pennsylvania,1983,40782.0
Northeast,New England,Rhode Island,1983,3392.0
South,South Atlantic,South Carolina,1983,20133.0
Midwest,West North Central,South Dakota,1983,840.0
South,East South Central,Tennessee,1983,18836.0
South,West South Central,Texas,1983,80546.0
West,Mountain,Utah,1983,4144.0
Northeast,New England,Vermont,1983,696.0
South,South Atlantic,Virginia,1983,16236.0
West,Pacific,Washington,1983,15986.0
South,South Atlantic,West Virginia,1983,3375.0
Midwest,East North Central,Wisconsin,1983,9070.0
West,Mountain,Wyoming,1983,1219.0
South,East South Central,Alabama,1984,17204.0
West,Pacific,Alaska,1984,3108.0
West,Mountain,Arizona,1984,15756.0
South,West South Central,Arkansas,1984,7549.0
West,Pacific,California,1984,195589.0
West,Mountain,Colorado,1984,14548.0
Northeast,New England,Connecticut,1984,12422.0
South,South Atlantic,Delaware,1984,2671.0
South,South Atlantic,District of Columbia,1984,10725.0
South,South Atlantic,Florida,1984,95270.0
South,South Atlantic,Georgia,1984,27935.0
West,Pacific,Hawaii,1984,2409.0
West,Mountain,Idaho,1984,2355.0
Midwest,East North Central,Illinois,1984,83441.0
Midwest,East North Central,Indiana,1984,16781.0
Midwest,West North Central,Iowa,1984,5781.0
Midwest,West North Central,Kansas,1984,8147.0
South,East South Central,Kentucky,1984,10342.0
South,West South Central,Louisiana,1984,30251.0
Northeast,New England,Maine,1984,1832.0
South,South Atlantic,Maryland,1984,34455.0
Northeast,New England,Massachusetts,1984,30362.0
Midwest,East North Central,Michigan,1984,68979.0
Midwest,West North Central,Minnesota,1984,8802.0
South,East South Central,Mississippi,1984,7326.0
Midwest,West North Central,Missouri,1984,23071.0
West,Mountain,Montana,1984,1958.0
Midwest,West North Central,Nebraska,1984,3627.0
West,Mountain,Nevada,1984,5726.0
Northeast,New England,New Hampshire,1984,1308.0
Northeast,Middle Atlantic,New Jersey,1984,39659.0
West,Mountain,New Mexico,1984,9798.0
Northeast,Middle Atlantic,New York,1984,162157.0
South,South Atlantic,North Carolina,1984,24885.0
Midwest,West North Central,North Dakota,1984,368.0
Midwest,East North Central,Ohio,1984,41430.0
South,West South Central,Oklahoma,1984,13438.0
West,Pacific,Oregon,1984,13533.0
Northeast,Middle Atlantic,Pennsylvania,1984,38154.0
Northeast,New England,Rhode Island,1984,3220.0
South,South Atlantic,South Carolina,1984,20607.0
Midwest,West North Central,South Dakota,1984,1041.0
South,East South Central,Tennessee,1984,21010.0
South,West South Central,Texas,1984,80737.0
West,Mountain,Utah,1984,4035.0
Northeast,New England,Vermont,1984,769.0
South,South Atlantic,Virginia,1984,16660.0
West,Pacific,Washington,1984,17676.0
South,South Atlantic,West Virginia,1984,3283.0
Midwest,East North Central,Wisconsin,1984,9367.0
West,Mountain,Wyoming,1984,1237.0
South,East South Central,Alabama,1985,18398.0
West,Pacific,Alaska,1985,3031.0
West,Mountain,Arizona,1985,19202.0
South,West South Central,Arkansas,1985,8199.0
West,Pacific,California,1985,201763.0
